Direction,Stop Name,Stop Name Marathi,,,,,
DOWN,Srushti Chowk,सृष्टी चौक,,,,,
DOWN,Lakshminagar Galli Number 1,लक्ष्मी नगर गल्ली नं. 1,,,,,
DOWN,Devkar Park,देवकर पार्क,,,,,
DOWN,Pancharatnanagar,पंचरत्न नगर,,,,,
DOWN,Bharati Vidyapeeth,भारती विद्यापीठ गेट,,,,,
DOWN,Indoorance System Chakan Mhalunge,इनडूरन्स सिस्टिम चाकण म्हाळुंगे,,,,,
DOWN,Suvarna Fabricators,सुवर्णा फायब्रोकोटर्स,,,,,
DOWN,MIDC Phata,एम.आय.डी.सी. फाटा,,,,,
DOWN,Chakan Mhalunge Phata,चाकण म्हाळुंगे फाटा,,,,,
DOWN,Lumax Company,ल्युमॅक्स कंपनी,,,,,
DOWN,Cores Company,कोरस कंपनी,,,,,
DOWN,IBP Pump,आयबीपी पंप,,,,,
DOWN,Pancharatna Complex,पचंरत्न कॉम्प्लेक्स,,,,,
DOWN,Kharabwadi,खराबवाडी,,,,,
DOWN,Ranubaimala,रानुबाई मळा,,,,,
DOWN,Pegra Gron Company,पेग्रा ग्रॉन कंपनी,,,,,
DOWN,Chakan Talegaon Chowk,चाकण तळेगांव चौक,,,,,
DOWN,Balaji Petrol Pump,बालाजी पेट्रोल पंप,,,,,
DOWN,Vijay Oil Mill,विजय ऑईल मिल,,,,,
DOWN,Gavtevasti,गवते वस्ती,,,,,
DOWN,Alandi Phata,आंळदी फाटा,,,,,
DOWN,Spicer India Company,स्पायसर इंडिया कंपनी,,,,,
DOWN,Kalyani Forge,कल्याणी फोर्स,,,,,
DOWN,Sandesh Model Colony,संदेश मॉडेल कॉलनी,,,,,
DOWN,Kuruli Phata,कुरुळी फाटा,,,,,
DOWN,Gaikwadvasti Nasik Road,गायकवाड वस्ती,,,,,
DOWN,Chimbli Phata,चिंबळी फाटा,,,,,
DOWN,Indrayani Hotel,इंद्रायणी हॉटेल,,,,,
DOWN,Hud Company,हुड कंपनी,,,,,
