Non-BRTS,101-U,101-U-27,27,Mahatma Gandhi Stand,महात्मा गांधी स्टॅण्ड,18.506507,73.882175,6,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-28,28,Limb Center,लिंब सेंटर,18.503999,73.887658,6,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-29,29,Military Hospital Vanawadi ,मिल्ट्री हॉस्पिटल वानवडी,18.501740,73.891020,6,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-30,30,Vanwadi Corner,वानवडी कॉर्नर,18.498444,73.895615,7,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-31,31,Vanwadi Bazar,वानवडी बाजार ,18.495112,73.894592,7,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-32,32,Shinde Chhatri,शिंदे छत्री,18.492664,73.894238,7,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-33,33,Netajinagar,नेताजीनगर,18.488081,73.892815,7,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-34,34,Lullanagar,लुल्लानगर,18.485188,73.889628,8,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-35,35,Kamela,कमेला,18.482385,73.891223,8,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-36,36,U Co Bank,यू को बँक,18.478716,73.890724,8,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-37,37,Kondhwa Shala,कोंढवा शाळा,18.476982,73.889850,8,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-38,38,Kondhwa Kh,कोंढवा खुर्द,18.472810,73.889162,9,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-39,39,Chaitanya Vidyalay,चैतन्य विद्यालय,18.468639,73.889038,9,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-40,40,Kondhwa Police Station,कोंढवा पोलीस स्टेशन,18.462845,73.889767,9,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-41,41,Talab Company,तालाब कंपनी,18.461805,73.890288,9,,,,,,,,,,,,,,,,
