Non-BRTS,320-U,320-U-53,53,Balewadi Stadium,बालेवाडी स्टेडीयम,18.574690,73.763780,16,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-54,54,Radha Hotel,राधा हॉटेल,18.569552,73.764561,16,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-55,55,Mhalunge Stadium Gate,म्हाळुंगे स्टेडीयम गेट,18.573608,73.756503,16,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-56,56,Mhalunge,म्हाळुंगे,18.574430,73.755343,17,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-01,1,Hinjawadi Maan Phase 3,हिंजवडी माण फेज ३,18.576553,73.688178,1,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-02,2,Tech Mahindra,टेक महेंद्रा,18.581016,73.687704,1,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-03,3,Tata Motors,टाटा मोटर्स,18.586860,73.700098,2,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-04,4,Power House Hinjawadi,पॉवर हाऊस हिंजवडी,18.588990,73.705400,2,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-05,5,Infosys Phase 2,इन्फोसीस फेज 2,18.593741,73.708210,3,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-06,6,EmCure,एमक्युअर,18.595900,73.712470,3,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-07,7,Wipro Company Circle,विप्रो कंपनी सर्कल,18.596911,73.718287,4,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-08,8,Tata Johnsan,टाटा जॉन्सन,18.594508,73.728077,4,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-09,9,Geometric,जिओमॅट्रीक चौक,18.593488,73.732447,4,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-10,10,Siemens,सिमेन्स,18.587633,73.733312,4,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-11,11,Infosys Phase 1,इन्फोसिसिफेज 1,18.586096,73.734505,5,,,,,,,,,,,,,,,,
BRTS,321A-D,321A-D-12,12,Shivaji Chowk Hinjawadi,शिवाजी चौक हिंजवडी,18.591606,73.738883,5,,,,,,,,,,,,,,,,
